VesselIdx,VesselName,VesselMMSI,VesselCall,VesselType,VesselTon,VesselBuilt,VesselLoc,VesselPermit,VesselMaterial,VesselEng,VesselPower,VesselSpd,VesselDim,dateIssue,dateExpire,certiNo,certiOrg,VesselRemarks,tbYard_YardIdx,tbUser_UserIdx,VesselRegDate
73,대산,,,어선,2.8,2012-09-15,경남,연안통발,FRP,디젤,157,,8.10/2.48/0.66,,,,,,,,2018-12-14 09:53:15
74,대현,,,어선,9.77,2015-03-15,전북,,FRP,볼보,750,24,,,,,,,,,2018-12-14 09:53:15
75,덕양,,,어선,2.74,2015-04-15,경남,연안복합,FRP,야마하,300,30,,,,,,,,,2018-12-14 09:53:15
76,신한,,,어선,2.99,2016-07-10,경남,연안자망,FRP,두산,230,,9.36/2.68/0.66,,,,,,,,2018-12-14 09:53:15
77,동경,,,어선,7.93,2012-05-12,전북,선적증서,FRP,머큐리,300,30,,,,,,,,,2018-12-14 09:53:15
78,동진,,,어선,5.5,1992-07-24,경남,어장관리선,FRP,디젤,250,,9.55/2.70/1.35,,,,,,,,2018-12-14 09:53:15
79,드림,,,어선,3.99,1990-03-15,부산,선적증서,FRP,,160,10,9.45/2.65/1.22,,,,,,,,2018-12-14 09:53:15
80,만경,,,어선,3.27,2009-04-10,경남,연안복합,FRP,대우,230,,,,,,,,,,2018-12-14 09:53:15
81,민수,,,어선,1.04,1999-06-15,전남,선적증서,FRP,머큐리,200,,8.55/2.55,,,,,,,,2018-12-14 09:53:15
82,명성,,,어선,7.31,2003-05-20,전남,연안자망,FRP,볼보,600,20,10.9/3.05/0.94,,,,,,,,2018-12-14 09:53:15
83,명진,,,어선,1.7,2010-01-15,전남,,FRP,현대마린,,,,,,,,,,,2018-12-14 09:53:15
84,목련,,,어선,,2007-03-15,경남,연안복합,FRP,,,,,,,,,,,,2018-12-14 09:53:15
85,민국,,,어선,,2005-02-12,전남,,FRP,,,,,,,,,,,,2018-12-14 09:53:15
86,백룡,,,어선,,2008-01-15,경남,연안복합,FRP,현대마린,,,,,,,,,,,2018-12-14 09:53:15
87,백성,,,어선,,2015-01-15,전남,,FRP,,,,,,,,,,,,2018-12-14 09:53:15
88,마린,,,어선,,2007-03-15,경남,,FRP,,,,,,,,,,,,2018-12-14 09:53:15
89,보원,,,어선,,2003-02-15,부산,연안복합,FRP,,,,,,,,,,,,2018-12-14 09:53:15
90,부경,,,어선,,2008-07-15,전남,,FRP,현대마린,,,,,,,,,,,2018-12-14 09:53:15
91,산스타,,,어선,,2007-01-15,부산,,FRP,,,,,,,,,,,,2018-12-14 09:53:15
